Date,Description,Amount,Type
01/10/2025,NEFT/CR/INFOSYS LIMITED/SALARY OCT 2025,85000,credit
01/10/2025,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/10/2025,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
03/10/2025,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
03/10/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,420,debit
04/10/2025,UPI/DR/OLA/RIDE BOOKING,180,debit
05/10/2025,UPI/DR/RAMESH PROPERTY/HOUSE RENT OCT,18000,debit
05/10/2025,UPI/DR/AMAZON/ORDER #402-8821,1299,debit
06/10/2025,UPI/DR/AMIT KUMAR/FRIEND DINNER SPLIT,850,debit
07/10/2025,UPI/DR/ZOMATO/FOOD ORDER,380,debit
08/10/2025,UPI/DR/AIRTEL/POSTPAID BILL OCT,899,debit
09/10/2025,UPI/DR/UBER INDIA/TRIP,240,debit
10/10/2025,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/10/2025,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/10/2025,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
11/10/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,510,debit
12/10/2025,UPI/DR/BESCOM/ELECTRICITY BILL,1840,debit
14/10/2025,UPI/CR/RAHUL SHARMA/FREELANCE PROJECT PAYMENT,15000,credit
14/10/2025,UPI/DR/APOLLO PHARMACY/MEDICINES,1240,debit
15/10/2025,NEFT/DR/SBI/PPF ACCOUNT DEPOSIT,12500,debit
15/10/2025,UPI/DR/ZOMATO/FOOD ORDER,295,debit
15/10/2025,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
17/10/2025,UPI/DR/RAPIDO/BIKE TAXI,85,debit
18/10/2025,UPI/DR/FLIPKART/ORDER #FKT8821,2499,debit
19/10/2025,UPI/DR/BLINKIT/GROCERIES,1240,debit
20/10/2025,UPI/DR/BOOKMYSHOW/MOVIE TICKETS,680,debit
20/10/2025,UPI/DR/UDEMY/COURSE PURCHASE,455,debit
21/10/2025,UPI/CR/SNEHA REDDY/REIMBURSEMENT,1200,credit
22/10/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,460,debit
23/10/2025,UPI/DR/IRCTC/TRAIN TICKET BLR TO HYD,1450,debit
24/10/2025,UPI/DR/MYNTRA/ORDER #MYN2291,1899,debit
25/10/2025,UPI/DR/MCDONALDS INDIA/MCDRIVE,580,debit
28/10/2025,UPI/DR/ZOMATO/FOOD ORDER,340,debit
28/10/2025,UPI/DR/AMAZON/ORDER #402-FESTIVE,4599,debit
29/10/2025,UPI/DR/OLA/RIDE BOOKING,195,debit
30/10/2025,UPI/DR/FLIPKART/DIWALI SALE #FKT,6799,debit
01/11/2025,NEFT/CR/INFOSYS LIMITED/SALARY NOV 2025,85000,credit
01/11/2025,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/11/2025,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
02/11/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,490,debit
02/11/2025,UPI/DR/AMAZON/ORDER #402-9921,3299,debit
02/11/2025,UPI/DR/CRYPTO APP/TRANSFER 9988776655@UPI,2000,debit
03/11/2025,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
03/11/2025,UPI/DR/PRACTO/DOCTOR CONSULTATION,500,debit
